Wall time,Step,Value,,
1744720311,20,-11.37929821,0.3623264909,0.37
1744720318,40,-11.35447693,0.35801301,2.72664032
1744720325,60,-11.36339474,0.3866794944,
1744720333,80,-11.34256268,0.3565360069,
1744720340,100,-11.3573103,0.3588964939,
1744720347,120,-11.3449173,0.3754104972,
1744720355,140,-11.3347702,0.3623314977,
1744720362,160,-11.31768227,0.3585165024,
1744720369,180,-11.32247829,0.3601620078,
1744720376,200,-11.31637096,0.5137194991,
1744720387,220,-11.31446362,0.3530369997,
1744720394,240,-11.30704021,0.3597039938,
1744720401,260,-11.29824829,0.3558160067,
1744720408,280,-11.30409527,0.3683354974,
1744720415,300,-11.29956055,0.3612269998,
1744720423,320,-11.28986263,0.3532004952,
1744720430,340,-11.29337502,0.3714765072,
1744720437,360,-11.2959938,0.3601119995,
1744720444,380,-11.2944746,0.3531530023,
1744720451,400,-11.28477001,0.3565225005,
1744720459,420,-11.29001522,0.3581504941,
1744720466,440,-11.28817368,0.3669985056,
1744720473,460,-11.27810478,0.3624569893,
1744720480,480,-11.27739525,0.3620200038,
1744720488,500,-11.27515697,0.3583595037,
1744720495,520,-11.26788712,0.3813259959,
1744720502,540,-11.27069378,0.3852599978,
1744720510,560,-11.27036095,0.3561305046,
1744720517,580,-11.26280022,0.3538730025,
1744720524,600,-11.26548958,0.3629189968,
1744720531,620,-11.26646042,0.5571684957,
1744720543,640,-11.26674175,0.3523625016,
1744720550,660,-11.26125145,0.3789420009,
1744720557,680,-11.25131226,0.3658570051,
1744720565,700,-11.25692749,0.3579439998,
1744720572,720,-11.25374794,0.3458194971,
1744720579,740,-11.24964905,0.3877154946,
1744720586,760,-11.24647427,0.3642715096,
1744720594,780,-11.25226974,0.3581579924,
1744720601,800,-11.2496624,0.3465420008,
1744720608,820,-11.24491787,0.3608970046,
1744720615,840,-11.25305462,0.3587185025,
1744720622,860,-11.25092697,0.3781259894,
1744720630,880,-11.23991108,0.3634985089,
1744720637,900,-11.24263287,0.3831074953,
1744720645,920,-11.24543285,0.361943996,
1744720652,940,-11.24431515,0.3596785069,
1744720659,960,-11.24728966,0.372724998,
1744720667,980,-11.24570751,0.3676149964,
1744720674,1000,-11.24700356,0.3742070079,
1744720681,1020,-11.25298309,0.3777544975,
1744720689,1040,-11.25355339,0.3556169987,
1744720696,1060,-11.25779343,0.3602674961,
1744720703,1080,-11.26162243,0.3562260032,
1744720710,1100,-11.25997734,0.3588034987,
1744720718,1120,-11.25461102,0.3611639977,
1744720725,1140,-11.25440788,0.3869325042,
1744720732,1160,-11.25176907,0.3744269967,
1744720740,1180,-11.25426483,0.3605555058,
1744720747,1200,-11.25540543,0.3628314972,
1744720754,1220,-11.25779915,0.3646034956,
1744720762,1240,-11.25873184,0.3591580033,
1744720769,1260,-11.26408195,0.3546519995,
1744720776,1280,-11.26620102,0.3610265017,
1744720783,1300,-11.25730896,0.3641654968,
1744720791,1320,-11.25797844,0.3667365074,
1744720798,1340,-11.25616741,0.3640684962,
1744720805,1360,-11.2532177,0.393524003,
1744720813,1380,-11.25100231,0.3557189941,
1744720820,1400,-11.25419235,0.3536030054,
1744720827,1420,-11.24880219,0.3582834959,
1744720834,1440,-11.24819565,0.3605205059,
1744720842,1460,-11.24219131,0.3604504943,
1744720849,1480,-11.24245167,0.3479855061,
1744720856,1500,-11.24319267,0.3578395009,
1744720863,1520,-11.23655415,0.3803014994,
1744720871,1540,-11.23074722,0.35994699,
1744720878,1560,-11.23239899,0.3594685078,
1744720885,1580,-11.227911,0.3466619968,
1744720892,1600,-11.2323637,0.3555734992,
1744720899,1620,-11.23465443,0.3608615041,
1744720906,1640,-11.23356438,0.3637570024,
1744720913,1660,-11.23118591,0.3662779927,
1744720921,1680,-11.23081684,0.3612684965,
1744720928,1700,-11.2323885,0.374635005,
1744720935,1720,-11.2351017,0.3593724966,
1744720943,1740,-11.2329998,0.3592150092,
1744720950,1760,-11.23012066,0.3768644929,
1744720957,1780,-11.22834396,0.3527945042,
1744720964,1800,-11.22524548,0.3605474949,
1744720972,1820,-11.23227692,0.3517485023,
1744720979,1840,-11.22695446,0.3562150002,
1744720986,1860,-11.22667408,0.3625375032,
1744720993,1880,-11.22175407,0.4011529922,
1744721001,1900,-11.22136211,0.3608465075,
1744721008,1920,-11.22342587,0.3526394963,
1744721015,1940,-11.22589111,0.3830320001,
1744721023,1960,-11.21934032,0.3468245029,
1744721030,1980,-11.21200466,0.3669960022,
1744721037,2000,-11.21527386,0.3552834988,
1744721044,2020,-11.2131691,0.3603659987,
1744721052,2040,-11.21140099,0.3687420011,
1744721059,2060,-11.20603752,0.3701319933,
1744721066,2080,-11.20028973,0.3701555014,
1744721074,2100,-11.19819355,0.4058269978,
1744721082,2120,-11.19539642,0.3745660067,
1744721089,2140,-11.2002058,0.3578055024,
1744721097,2160,-11.19037437,0.3754414916,
1744721104,2180,-11.18834591,0.3790575027,
1744721112,2200,-11.18864632,0.3515395045,
1744721119,2220,-11.18457031,0.359592998,
1744721126,2240,-11.18546867,0.3478695035,
1744721133,2260,-11.18361187,0.3606944919,
1744721140,2280,-11.18918228,0.3589395046,
1744721147,2300,-11.18557549,0.3717090011,
1744721155,2320,-11.18785667,0.3587824941,
1744721162,2340,-11.18571758,0.3611320019,
1744721169,2360,-11.18540382,0.3723935008,
1744721176,2380,-11.19167233,0.3499325037,
1744721183,2400,-11.19668388,0.3693964958,
1744721191,2420,-11.19191265,0.3594035029,
1744721198,2440,-11.19012642,0.3615579963,
1744721205,2460,-11.1879549,0.377720499,
1744721213,2480,-11.18545532,0.3863265038,
1744721221,2500,-11.18724346,0.3853459954,
1744721228,2520,-11.1876564,0.3455075026,
1744721235,2540,-11.19118309,0.3525089979,
1744721242,2560,-11.18760872,0.3613195062,
1744721249,2580,-11.18226814,0.3619694948,
1744721257,2600,-11.16857147,0.3749040008,
1744721264,2620,-11.1686058,0.3666185021,
1744721272,2640,-11.16517162,0.3931470037,
1744721279,2660,-11.16452026,0.3721184969,
1744721287,2680,-11.17411423,0.3580695033,
1744721294,2700,-11.17098808,0.3607609987,
1744721301,2720,-11.17823315,0.3659160018,
1744721309,2740,-11.18192673,0.349998498,
1744721316,2760,-11.18047142,0.378508997,
1744721323,2780,-11.17393398,0.3520235062,
1744721330,2800,-11.16837883,0.3742584944,
1744721338,2820,-11.16769791,0.3623600006,
1744721345,2840,-11.16601086,0.3600734949,
1744721352,2860,-11.15821075,0.3601415038,
1744721359,2880,-11.15248871,0.3591719985,
1744721366,2900,-11.16089439,0.3881595016,
1744721374,2920,-11.16166115,0.3701205015,
1744721382,2940,-11.16034698,0.3853965044,
1744721389,2960,-11.15652084,0.3731969953,
1744721397,2980,-11.15652275,0.4036995053,
1744721405,3000,-11.15015221,0.3727354884,
1744721412,3020,-11.1442852,0.3554085016,
1744721419,3040,-11.14522076,0.3638040066,
1744721427,3060,-11.14712811,0.3869750023,
1744721434,3080,-11.15244865,0.3549584985,
1744721442,3100,-11.14564514,0.3712859988,
1744721449,3120,-11.14205742,0.3537479997,
1744721456,3140,-11.13803101,0.3610129952,
1744721463,3160,-11.13914394,0.3931210041,
1744721471,3180,-11.1375618,0.3603000045,
1744721478,3200,-11.14138794,0.3584339976,
1744721486,3220,-11.14454937,0.3791244984,
1744721493,3240,-11.14455986,0.3537045002,
1744721500,3260,-11.14395714,0.3776744962,
1744721508,3280,-11.14831066,0.3732514977,
1744721515,3300,-11.15581703,0.3604560018,
1744721522,3320,-11.16355419,0.3476374984,
1744721529,3340,-11.16517162,0.3731559992,
1744721537,3360,-11.16124725,0.3781995058,
1744721544,3380,-11.16264534,0.3631139994,
1744721552,3400,-11.16041756,0.3782464981,
1744721559,3420,-11.1571846,0.3618115067,
1744721566,3440,-11.16244984,0.3596979976,
1744721574,3460,-11.15869713,0.3454620004,
1744721581,3480,-11.1615963,0.3623019934,
1744721588,3500,-11.16933823,0.3933544993,
1744721596,3520,-11.17210388,0.3848175049,
1744721603,3540,-11.17522144,0.3763414979,
1744721611,3560,-11.17373276,0.3647634983,
1744721618,3580,-11.17751312,0.3656930089,
1744721625,3600,-11.18074036,0.35237149,
1744721633,3620,-11.18119431,0.361610508,
1744721640,3640,-11.18088341,0.3509454966,
1744721647,3660,-11.18257904,0.374791503,
1744721654,3680,-11.17958832,0.3601539969,
1744721661,3700,-11.18177795,0.3593230009,
1744721669,3720,-11.18790722,0.3623075008,
1744721676,3740,-11.18953991,0.3568684936,
1744721683,3760,-11.18714619,0.3444015026,
1744721690,3780,-11.18798637,0.3709944963,
1744721697,3800,-11.19355965,0.3740180016,
1744721705,3820,-11.19464302,0.3592245102,
1744721712,3840,-11.1895237,0.3730444908,
1744721719,3860,-11.18682098,0.3895055056,
1744721727,3880,-11.18773937,0.3533149958,
1744721734,3900,-11.18670654,0.3947870016,
1744721742,3920,-11.18549252,0.3854979992,
1744721750,3940,-11.18635559,0.3912850022,
1744721758,3960,-11.17827225,0.3767954946,
1744721765,3980,-11.1785078,0.3934725046,
1744721773,4000,-11.18378067,0.3469020009,
1744721780,4020,-11.1841011,0.382119,
1744721788,4040,-11.1881485,0.3647670031,
1744721795,4060,-11.1958313,0.3559669971,
1744721802,4080,-11.19337845,0.3802049994,
1744721810,4100,-11.18767548,0.3715834975,
1744721817,4120,-11.18636036,0.3575824976,
1744721824,4140,-11.18044472,0.3554050088,
1744721831,4160,-11.17282486,0.393204999,
1744721839,4180,-11.17611504,0.3743884921,
1744721847,4200,-11.1792593,0.3558730006,
1744721854,4220,-11.17957973,0.3714125037,
1744721861,4240,-11.1758976,0.3591655016,
1744721869,4260,-11.17321587,0.3547644973,
1744721876,4280,-11.17284203,0.3868085027,
1744721883,4300,-11.17060089,0.3556254983,
1744721891,4320,-11.17547512,0.3502915025,
1744721898,4340,-11.17062664,0.3735989928,
1744721905,4360,-11.17692566,0.3891830087,
1744721913,4380,-11.17686367,0.3662634969,
1744721920,4400,-11.17386436,0.359544003,
1744721927,4420,-11.17214108,0.3635314941,
1744721935,4440,-11.17971039,0.3586600065,
1744721942,4460,-11.17632771,0.364269495,
1744721949,4480,-11.1737709,0.358060503,
1744721956,4500,-11.17280865,0.3703575015,
1744721964,4520,-11.17148209,0.3536299944,
1744721971,4540,-11.17577839,0.3812394977,
1744721978,4560,-11.175457,0.3524484992,
1744721985,4580,-11.17853165,0.3948475003,
1744721993,4600,-11.18207836,0.3587605,
1744722000,4620,-11.18439865,0.3625975013,
1744722008,4640,-11.18164539,0.388675499,
1744722015,4660,-11.1832943,0.3580669999,
1744722023,4680,-11.18455505,0.3551335096,
1744722030,4700,-11.18633652,0.3603429914,
1744722037,4720,-11.17954254,0.3536380053,
1744722044,4740,-11.18212605,0.3577180028,
1744722051,4760,-11.18521881,0.3632269979,
1744722058,4780,-11.17991924,0.3733539939,
1744722066,4800,-11.18451691,0.3787294984,
1744722073,4820,-11.18113708,0.3566410065,
1744722081,4840,-11.18040848,0.3848500013,
1744722088,4860,-11.16935158,0.3635460019,
1744722096,4880,-11.16319847,0.3587859988,
1744722103,4900,-11.15969753,0.3911324978,
1744722111,4920,-11.15264702,0.365091002,
1744722118,4940,-11.15495777,0.3730984926,
1744722125,4960,-11.16436672,0.3681439996,
1744722133,4980,-11.17222881,0.3876924992,
1744722140,5000,-11.17343426,0.3501695037,
1744722147,5020,-11.17295647,0.4083665013,
1744722156,5040,-11.17588997,0.3565575004,
1744722163,5060,-11.17089367,0.360939002,
1744722170,5080,-11.17042351,0.3594684958,
1744722177,5100,-11.17506695,0.3570410013,
1744722184,5120,-11.17076397,0.3533995032,
1744722191,5140,-11.17101765,0.3717914939,
1744722199,5160,-11.16882515,0.3596355081,
1744722206,5180,-11.17110825,0.3608259916,
1744722213,5200,-11.17736721,0.3554450035,
1744722220,5220,-11.17350292,0.3775964975,
1744722228,5240,-11.17540359,0.3771385074,
1744722235,5260,-11.17893982,0.3727584958,
1744722243,5280,-11.18138504,0.3599130034,
1744722250,5300,-11.17621613,0.3638219953,
1744722257,5320,-11.17542553,0.3595365047,
1744722264,5340,-11.17559052,0.3559944987,
1744722272,5360,-11.16924095,0.3797614932,
1744722279,5380,-11.17132187,0.3543765068,
1744722286,5400,-11.16843987,0.3606949925,
1744722294,5420,-11.16424179,0.3607830048,
1744722301,5440,-11.1653862,0.3594810009,
1744722308,5460,-11.16286755,0.368956995,
1744722315,5480,-11.15953732,0.3882290006,
1744722323,5500,-11.16095352,0.3609310031,
1744722330,5520,-11.15830421,0.3719589949,
1744722338,5540,-11.15858269,0.3778985023,
1744722345,5560,-11.15911388,0.356625998,
1744722352,5580,-11.15480804,0.3764115095,
1744722360,5600,-11.15214825,0.3567834973,
1744722367,5620,-11.14796734,0.3807675004,
1744722375,5640,-11.14599323,0.3586099982,
1744722382,5660,-11.14841366,0.3490074992,
1744722389,5680,-11.1494751,0.4029194951,
1744722397,5700,-11.14749908,0.3604530096,
1744722404,5720,-11.14769745,0.376679492,
1744722412,5740,-11.14275169,0.3583815098,
1744722419,5760,-11.14066696,0.3558524966,
1744722426,5780,-11.13831902,0.3791209936,
1744722434,5800,-11.1362257,0.350199008,
1744722441,5820,-11.13465881,0.3512249947,
1744722448,5840,-11.12930679,0.3562280059,
1744722455,5860,-11.1191864,0.3582839966,
1744722462,5880,-11.12426376,0.3777519941,
1744722469,5900,-11.12270927,0.3524040103,
1744722476,5920,-11.1238203,0.3634064913,
1744722484,5940,-11.12149239,0.3505630016,
1744722491,5960,-11.12110519,0.3539394975,
1744722498,5980,-11.1233654,0.4142190099,
1744722506,6000,-11.1244154,0.3592699885,
1744722513,6020,-11.12604141,0.3546345115,
1744722520,6040,-11.12268353,0.3698549986,
1744722528,6060,-11.12401104,0.3493065,
