Wall time,Step,Value,
1744720333,80,313.3702393,2.496057749
1744720340,100,313.3702393,2.496057749
1744720347,120,313.3702393,2.496057749
1744720355,140,203.2311859,2.307990351
1744720362,160,203.2311859,2.307990351
1744720369,180,203.2311859,2.307990351
1744720376,200,203.2311859,2.307990351
1744720387,220,203.2311859,2.307990351
1744720394,240,203.2311859,2.307990351
1744720401,260,203.2311859,2.307990351
1744720408,280,203.2311859,2.307990351
1744720415,300,364.8714294,2.562139858
1744720423,320,364.8714294,2.562139858
1744720430,340,364.8714294,2.562139858
1744720437,360,328.8075562,2.516941789
1744720444,380,328.8075562,2.516941789
1744720451,400,328.8075562,2.516941789
1744720459,420,328.8075562,2.516941789
1744720466,440,328.8075562,2.516941789
1744720473,460,299.9396057,2.477033816
1744720480,480,299.9396057,2.477033816
1744720488,500,299.9396057,2.477033816
1744720495,520,299.9396057,2.477033816
1744720502,540,288.1649475,2.459641152
1744720510,560,229.6575928,2.361080808
1744720517,580,229.6575928,2.361080808
1744720524,600,229.6575928,2.361080808
1744720531,620,229.6575928,2.361080808
1744720543,640,229.6575928,2.361080808
1744720550,660,229.6575928,2.361080808
1744720557,680,275.0796204,2.439458416
1744720565,700,275.0796204,2.439458416
1744720572,720,275.0796204,2.439458416
1744720579,740,275.0796204,2.439458416
1744720586,760,274.3033752,2.438231152
1744720594,780,274.3033752,2.438231152
1744720601,800,274.3033752,2.438231152
1744720608,820,274.3033752,2.438231152
1744720615,840,274.3033752,2.438231152
1744720622,860,274.3033752,2.438231152
1744720630,880,306.3235168,2.486180339
1744720637,900,306.3235168,2.486180339
1744720645,920,303.684082,2.482422028
1744720652,940,303.684082,2.482422028
1744720659,960,303.684082,2.482422028
1744720667,980,298.5279846,2.474985049
1744720674,1000,298.5279846,2.474985049
1744720681,1020,297.1830139,2.473023983
1744720689,1040,281.3494873,2.449246128
1744720696,1060,281.3494873,2.449246128
1744720703,1080,281.3494873,2.449246128
1744720710,1100,281.3494873,2.449246128
1744720718,1120,281.3494873,2.449246128
1744720725,1140,281.3494873,2.449246128
1744720732,1160,289.6562195,2.461882858
1744720740,1180,276.9718933,2.4424357
1744720747,1200,276.9718933,2.4424357
1744720754,1220,276.9718933,2.4424357
1744720762,1240,276.9107666,2.442339842
1744720769,1260,276.9107666,2.442339842
1744720776,1280,276.9107666,2.442339842
1744720783,1300,276.9107666,2.442339842
1744720791,1320,276.9107666,2.442339842
1744720798,1340,295.4838867,2.470533803
1744720805,1360,295.4838867,2.470533803
1744720813,1380,292.7225647,2.466456202
1744720820,1400,292.7225647,2.466456202
1744720827,1420,292.7225647,2.466456202
1744720834,1440,292.7225647,2.466456202
1744720842,1460,292.7225647,2.466456202
1744720849,1480,292.7225647,2.466456202
1744720856,1500,292.7225647,2.466456202
1744720863,1520,292.7225647,2.466456202
1744720871,1540,306.7252197,2.486749486
1744720878,1560,306.7252197,2.486749486
1744720885,1580,306.7252197,2.486749486
1744720892,1600,306.7252197,2.486749486
1744720899,1620,306.7252197,2.486749486
1744720906,1640,306.7252197,2.486749486
1744720913,1660,306.7252197,2.486749486
1744720921,1680,327.4537354,2.515149949
1744720928,1700,327.4537354,2.515149949
1744720935,1720,326.3340759,2.513662425
1744720943,1740,326.3340759,2.513662425
1744720950,1760,326.3340759,2.513662425
1744720957,1780,324.5011292,2.511216212
1744720964,1800,324.5011292,2.511216212
1744720972,1820,324.5011292,2.511216212
1744720979,1840,324.5011292,2.511216212
1744720986,1860,324.5011292,2.511216212
1744720993,1880,324.5011292,2.511216212
1744721001,1900,325.984436,2.513196865
1744721008,1920,325.984436,2.513196865
1744721015,1940,325.984436,2.513196865
1744721023,1960,323.7817993,2.510252432
1744721030,1980,323.7817993,2.510252432
1744721037,2000,323.7817993,2.510252432
1744721044,2020,323.7817993,2.510252432
1744721052,2040,323.7817993,2.510252432
1744721059,2060,334.1188049,2.523900919
1744721066,2080,324.5581055,2.51129246
1744721074,2100,315.9519043,2.499620977
1744721082,2120,299.7940674,2.476823034
1744721089,2140,292.9356995,2.466772301
1744721097,2160,292.9356995,2.466772301
1744721104,2180,293.0969238,2.46701126
1744721112,2200,286.5012817,2.457126569
1744721119,2220,286.5012817,2.457126569
1744721126,2240,286.5012817,2.457126569
1744721133,2260,286.5012817,2.457126569
1744721140,2280,286.5012817,2.457126569
1744721147,2300,286.5012817,2.457126569
1744721155,2320,295.7492065,2.470923588
1744721162,2340,295.7492065,2.470923588
1744721169,2360,295.7492065,2.470923588
1744721176,2380,294.9172058,2.469700111
1744721183,2400,294.9172058,2.469700111
1744721191,2420,293.1829224,2.467138669
1744721198,2440,293.1829224,2.467138669
1744721205,2460,293.1829224,2.467138669
1744721213,2480,292.6383667,2.466331264
1744721221,2500,281.3771973,2.449288899
1744721228,2520,276.3522034,2.441462932
1744721235,2540,276.3522034,2.441462932
1744721242,2560,276.3522034,2.441462932
1744721249,2580,276.3522034,2.441462932
1744721257,2600,276.3522034,2.441462932
1744721264,2620,284.8519592,2.454619211
1744721272,2640,279.9586792,2.447093936
1744721279,2660,270.4715576,2.432121602
1744721287,2680,266.2098999,2.425224202
1744721294,2700,266.2098999,2.425224202
1744721301,2720,266.2098999,2.425224202
1744721309,2740,266.2098999,2.425224202
1744721316,2760,266.2098999,2.425224202
1744721323,2780,274.6557312,2.438788666
1744721330,2800,274.6557312,2.438788666
1744721338,2820,275.6465454,2.440352554
1744721345,2840,275.6465454,2.440352554
1744721352,2860,275.6465454,2.440352554
1744721359,2880,275.6465454,2.440352554
1744721366,2900,275.6465454,2.440352554
1744721374,2920,283.3223877,2.452280893
1744721382,2940,283.1162415,2.451964784
1744721389,2960,278.993103,2.445593467
1744721397,2980,275.0446167,2.439403149
1744721405,3000,267.3193665,2.427030423
1744721412,3020,263.7453613,2.42118483
1744721419,3040,263.7453613,2.42118483
1744721427,3060,264.3286743,2.422144278
1744721434,3080,260.7243958,2.41618167
1744721442,3100,260.7243958,2.41618167
1744721449,3120,261.2019043,2.416976339
1744721456,3140,261.2019043,2.416976339
1744721463,3160,261.2019043,2.416976339
1744721471,3180,257.923645,2.411491158
1744721478,3200,257.923645,2.411491158
1744721486,3220,257.923645,2.411491158
1744721493,3240,258.2671204,2.41206912
1744721500,3260,258.2671204,2.41206912
1744721508,3280,258.6052551,2.412637346
1744721515,3300,255.4600525,2.407322997
1744721522,3320,255.4600525,2.407322997
1744721529,3340,255.4600525,2.407322997
1744721537,3360,256.2292175,2.40862865
1744721544,3380,253.2663422,2.403577478
1744721552,3400,253.2663422,2.403577478
1744721559,3420,254.3909302,2.405501623
1744721566,3440,254.3909302,2.405501623
1744721574,3460,254.3909302,2.405501623
1744721581,3480,254.3909302,2.405501623
1744721588,3500,254.3909302,2.405501623
1744721596,3520,257.0636292,2.410040634
1744721603,3540,254.3887024,2.40549782
1744721611,3560,251.5692444,2.400657545
1744721618,3580,251.5692444,2.400657545
1744721625,3600,251.8848267,2.401202007
1744721633,3620,251.8848267,2.401202007
1744721640,3640,251.8848267,2.401202007
1744721647,3660,251.8848267,2.401202007
1744721654,3680,252.565033,2.402373223
1744721661,3700,252.565033,2.402373223
1744721669,3720,252.565033,2.402373223
1744721676,3740,252.565033,2.402373223
1744721683,3760,252.565033,2.402373223
1744721690,3780,252.565033,2.402373223
1744721697,3800,257.7762451,2.411242893
1744721705,3820,255.2164612,2.406908682
1744721712,3840,255.2164612,2.406908682
1744721719,3860,256.072937,2.408363683
1744721727,3880,253.5700989,2.40409804
1744721734,3900,253.5700989,2.40409804
1744721742,3920,251.750824,2.400970901
1744721750,3940,249.4822845,2.397039712
1744721758,3960,245.0910187,2.389327397
1744721765,3980,242.9120636,2.385449083
1744721773,4000,240.8493042,2.381745396
1744721780,4020,240.8493042,2.381745396
1744721788,4040,241.2998047,2.38255697
1744721795,4060,241.2998047,2.38255697
1744721802,4080,241.2998047,2.38255697
1744721810,4100,242.0427856,2.383892143
1744721817,4120,242.4865417,2.38468764
1744721824,4140,242.4865417,2.38468764
1744721831,4160,242.4865417,2.38468764
1744721839,4180,240.687439,2.381453426
1744721847,4200,238.635498,2.377735047
1744721854,4220,238.635498,2.377735047
1744721861,4240,239.8196259,2.379884721
1744721869,4260,239.8196259,2.379884721
1744721876,4280,239.8196259,2.379884721
1744721883,4300,238.220459,2.376979057
1744721891,4320,238.220459,2.376979057
1744721898,4340,238.220459,2.376979057
1744721905,4360,238.9980774,2.378394407
1744721913,4380,235.4087219,2.371822549
1744721920,4400,233.7180634,2.368692279
1744721927,4420,233.7180634,2.368692279
1744721935,4440,234.7342682,2.370576496
1744721942,4460,234.7342682,2.370576496
1744721949,4480,235.3476105,2.371709793
1744721956,4500,235.3476105,2.371709793
1744721964,4520,235.5220947,2.372031655
1744721971,4540,235.5220947,2.372031655
1744721978,4560,237.5735626,2.37579811
1744721985,4580,237.5735626,2.37579811
1744721993,4600,232.3166351,2.366080309
1744722000,4620,232.3166351,2.366080309
1744722008,4640,232.3166351,2.366080309
1744722015,4660,231.6242218,2.364783973
1744722023,4680,231.6242218,2.364783973
1744722030,4700,231.6242218,2.364783973
1744722037,4720,231.6242218,2.364783973
1744722044,4740,231.6242218,2.364783973
1744722051,4760,231.6242218,2.364783973
1744722058,4780,231.6242218,2.364783973
1744722066,4800,238.8502045,2.378125617
1744722073,4820,241.7238159,2.383319442
1744722081,4840,241.7238159,2.383319442
1744722088,4860,238.0592499,2.376685061
1744722096,4880,238.0592499,2.376685061
1744722103,4900,238.0592499,2.376685061
1744722111,4920,232.559021,2.366533191
1744722118,4940,232.559021,2.366533191
1744722125,4960,233.0649567,2.367476978
1744722133,4980,231.3268585,2.36422606
1744722140,5000,229.1419373,2.36010458
1744722147,5020,229.1419373,2.36010458
1744722156,5040,225.9482269,2.354008938
1744722163,5060,225.9482269,2.354008938
1744722170,5080,225.9482269,2.354008938
1744722177,5100,225.9482269,2.354008938
1744722184,5120,225.9482269,2.354008938
1744722191,5140,225.9482269,2.354008938
1744722199,5160,232.3252258,2.366096368
1744722206,5180,232.3252258,2.366096368
1744722213,5200,232.3252258,2.366096368
1744722220,5220,232.3252258,2.366096368
1744722228,5240,238.7571564,2.377956398
1744722235,5260,236.5571747,2.373936125
1744722243,5280,230.7122803,2.363070712
1744722250,5300,230.7122803,2.363070712
1744722257,5320,230.7122803,2.363070712
1744722264,5340,230.7122803,2.363070712
1744722272,5360,230.7122803,2.363070712
1744722279,5380,235.4429474,2.371885686
1744722286,5400,235.4429474,2.371885686
1744722294,5420,235.4429474,2.371885686
1744722301,5440,235.4429474,2.371885686
1744722308,5460,235.4429474,2.371885686
1744722315,5480,236.4187622,2.373681939
1744722323,5500,229.0770264,2.359981537
1744722330,5520,229.0770264,2.359981537
1744722338,5540,229.3935394,2.360581182
1744722345,5560,227.2546082,2.356512698
1744722352,5580,227.2546082,2.356512698
1744722360,5600,223.2647552,2.34882017
1744722367,5620,223.2647552,2.34882017
1744722375,5640,225.2754211,2.35271381
1744722382,5660,225.2754211,2.35271381
1744722389,5680,225.2754211,2.35271381
1744722397,5700,220.1496887,2.342718076
1744722404,5720,220.1496887,2.342718076
1744722412,5740,222.9725342,2.34825137
1744722419,5760,222.9725342,2.34825137
1744722426,5780,222.9725342,2.34825137
1744722434,5800,225.3102417,2.352780933
1744722441,5820,225.3102417,2.352780933
1744722448,5840,225.3102417,2.352780933
1744722455,5860,225.3102417,2.352780933
1744722462,5880,225.3102417,2.352780933
1744722469,5900,231.7590485,2.365036699
1744722476,5920,231.7590485,2.365036699
1744722484,5940,231.7590485,2.365036699
1744722491,5960,231.7590485,2.365036699
1744722498,5980,231.7590485,2.365036699
1744722506,6000,237.8605042,2.376322335
1744722513,6020,237.8605042,2.376322335
1744722520,6040,237.8605042,2.376322335
1744722528,6060,238.1283722,2.376811143
1744722535,6080,238.1283722,2.376811143
1744722542,6100,240.0142822,2.380237085
1744722550,6120,240.0142822,2.380237085
1744722557,6140,240.0142822,2.380237085
1744722565,6160,234.5372314,2.370211794
1744722572,6180,234.5372314,2.370211794
1744722579,6200,234.5372314,2.370211794
1744722586,6220,234.9567108,2.370987854
1744722594,6240,232.81073,2.367002993
1744722601,6260,232.81073,2.367002993
1744722608,6280,232.81073,2.367002993
1744722615,6300,234.6490631,2.370418825
1744722622,6320,234.6490631,2.370418825
1744722630,6340,237.4711609,2.375610875
1744722638,6360,231.7237244,2.3649705
1744722645,6380,231.5486908,2.36464233
1744722652,6400,231.5486908,2.36464233
1744722660,6420,234.2295685,2.369641718
1744722668,6440,234.2386627,2.36965858
1744722675,6460,234.2386627,2.36965858
1744722682,6480,234.2386627,2.36965858
1744722689,6500,236.2169189,2.373311001
1744722697,6520,230.0066986,2.361740484
1744722704,6540,229.5643311,2.36090441
1744722712,6560,223.5001526,2.349277824
1744722719,6580,223.5001526,2.349277824
1744722726,6600,223.5001526,2.349277824
1744722734,6620,223.4682007,2.349215732
1744722741,6640,223.4682007,2.349215732
1744722748,6660,223.4682007,2.349215732
1744722755,6680,225.2917328,2.352745255
1744722763,6700,225.2917328,2.352745255
1744722770,6720,225.2917328,2.352745255
1744722777,6740,225.2917328,2.352745255
1744722784,6760,225.2917328,2.352745255
1744722791,6780,225.2917328,2.352745255
1744722798,6800,225.2917328,2.352745255
1744722806,6820,231.6174316,2.364771241
1744722814,6840,231.5583038,2.36466036
1744722821,6860,231.5583038,2.36466036
1744722828,6880,231.5583038,2.36466036
1744722836,6900,231.5093994,2.364568628
1744722843,6920,231.6106873,2.364758595
1744722850,6940,231.4527893,2.364462419
